Robert,Radloff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct 11 2021,2:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time(min),Line TC Setpoint(C),Line TC(C),Line Heater(%),Vaporizer TC(C),Vaporizer HeaterTC(C),Vaporizer Heater(%),Vaporizer Scale(lb),Vaporization(lb/h),Powder Feed Setpoint(g/h),Powder Scale(g),Powder Rate(g/h),Chamber TC Setpoint(C),Chamber TC1(C),Chamber TC2(C),Chamber Heater(%),MFC#0,MFC#1,MFC#2,MFC#3,ArMFC#1,ArMFC#2,ArMFC#3,XFMR Status,Vaccum Pump Outlet TC(C),Vaccum Pump Intlet TC(C),Inlet Valve Open,Inlet Valve Closed,Outlet Valve Open,Outlet Valve Closed,MKS Press/Pos,MKS Set Point,MKS Pressure(Torr),MKS Position(degrees),Injector TC(C),HG-412,HG-414,HG-416,PG-412,PG-414,PG-416,HG-418,MTS-414,HG-419,MH-481,MTS-420,Vibrator,Vibrator2,Bell Jar Press(Torr),Exhaust Press(Torr),Run-Time(min),Sub Run-Time(min)
1,-17.778,-17.778,0,22.514,20.901,0,252.3,-0.16,0,9990000,0,13.568,13.677,14.449,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,2.598,89.584,0,0,0,0,0,0,0,1,0,0,0,0,0,1.521,757.319,0,0
2,-17.778,-17.778,0,22.534,20.976,0,252.3,0.72,0,9990000,0,13.586,13.602,14.368,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,2.594,89.582,0,0,0,0,0,0,0,1,0,0,0,0,0,1.567,757.179,0,0
3,-17.778,-17.778,0,22.538,20.885,0,252.3,0.072,0,9990000,0,13.527,13.706,14.374,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,2.491,89.576,0,0,0,0,0,0,0,1,0,0,0,0,0,1.659,757.168,0,0
4,-17.778,-17.778,0,22.544,20.816,0,252.3,-0.543,0,9990000,0,13.318,13.525,14.973,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,2.609,89.592,0,0,0,0,0,0,0,1,0,0,0,0,0,1.548,757.257,0,0
5,-17.778,-17.778,0,22.537,20.87,0,252.3,0.517,0,9990000,0,13.541,13.551,14.47,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,2.541,89.593,0,0,0,0,0,0,0,1,0,0,0,0,0,1.592,757.208,0,0
6,-17.778,-17.778,0,22.539,20.948,0,252.3,0.036,0,9990000,0,13.527,13.441,14.665,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,2.572,89.576,0,0,0,0,0,0,0,1,0,0,0,0,0,1.584,757.456,0,0
7,-17.778,-17.778,0,22.522,20.867,0,252.3,0.604,0,9990000,0,13.506,13.521,14.825,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,2.627,89.594,0,0,0,0,0,0,0,1,0,0,0,0,0,1.623,757.187,0,0
8,-17.778,-17.778,0,22.507,20.868,0,252.3,-0.328,0,9990000,0,13.504,13.612,14.494,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,2.604,89.593,0,0,0,0,0,0,0,1,0,0,0,0,0,1.631,757.157,0,0
9,-17.778,-17.778,0,22.502,20.858,0,252.3,-0.558,0,9990000,0,13.432,13.42,14.377,0,0,0,0,10.174,8.754,20.504,0,1,0,0,0,1,0,1,0,1,0,32.733,0,0,0,0,0,1,1,1,1,0,0,0,0,0,39.75,757.327,0,0
10,-17.778,-17.778,0,22.507,20.796,0,252.3,0.696,0,9990000,0,13.905,13.875,14.245,0,0,0,0,9.499,6.661,19.648,0,1,0,0,0,1,0,1,0,1,0,71.166,0,0,0,0,0,1,1,1,1,0,0,0,0,0,70.283,757.388,0,0
